Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
28,2024-02-29,0,southern-california,washington-state,REG (Conf),0,72,75,0.519,0.2,0.595,0.538,0.667,7,19,26,11,11,4,11,17,0.5,0.5,0.5,0.596,0.765,7,20,27,14,5,3,13,17
29,2024-03-02,0,southern-california,washington,REG (Conf),1,82,75,0.544,0.471,0.575,0.614,0.75,4,25,29,12,8,5,8,15,0.417,0.406,0.429,0.525,0.857,6,19,25,17,5,3,10,15
30,2024-03-07,1,southern-california,arizona-state,REG (Conf),1,81,73,0.458,0.5,0.417,0.583,0.833,8,22,30,18,6,5,13,21,0.5,0.188,0.656,0.531,0.733,1,16,17,17,10,6,6,23
31,2024-03-09,1,southern-california,arizona,REG (Conf),1,78,65,0.491,0.333,0.564,0.544,0.889,4,23,27,16,15,5,10,19,0.387,0.286,0.439,0.435,0.688,11,22,33,18,3,2,17,18
32,2024-03-13,2,southern-california,washington,CTOURN,1,80,74,0.5,0.409,0.559,0.58,0.714,6,23,29,19,10,4,12,14,0.456,0.458,0.455,0.553,0.733,5,20,25,14,8,0,15,16
33,2024-03-14,2,southern-california,arizona,CTOURN,0,49,70,0.357,0.273,0.412,0.411,0.5,8,20,28,9,6,7,17,19,0.456,0.368,0.5,0.518,0.611,11,27,38,11,10,3,14,14
1,2023-11-06,1,ucla,saint-francis-pa,REG (Non-Conf),1,75,44,0.509,0.222,0.563,0.526,0.625,10,21,31,18,9,6,6,16,0.333,0.125,0.462,0.357,0.7,8,18,26,6,3,1,20,23
2,2023-11-10,1,ucla,lafayette,REG (Non-Conf),1,68,50,0.431,0.357,0.459,0.48,0.76,6,24,30,7,6,0,7,16,0.327,0.267,0.409,0.404,0.667,8,22,30,10,3,3,14,22
3,2023-11-15,1,ucla,liu,REG (Non-Conf),1,78,58,0.556,0.0,0.625,0.556,0.72,10,29,39,15,9,7,14,18,0.353,0.316,0.375,0.412,0.762,2,13,15,7,8,1,12,23
4,2023-11-20,2,ucla,marquette,REG (Non-Conf),0,69,71,0.469,0.385,0.5,0.52,0.9,4,23,27,10,5,3,12,19,0.455,0.324,0.667,0.555,0.556,3,20,23,11,6,2,7,18
5,2023-11-21,2,ucla,chaminade,REG (Non-Conf),1,76,48,0.484,0.318,0.575,0.54,0.643,12,37,49,21,10,6,18,16,0.259,0.25,0.273,0.336,0.75,7,14,21,10,11,3,13,17
6,2023-11-23,2,ucla,gonzaga,REG (Non-Conf),0,65,69,0.352,0.286,0.375,0.389,0.742,13,20,33,9,5,3,9,26,0.434,0.375,0.459,0.491,0.586,11,23,34,11,3,4,10,25
7,2023-11-30,1,ucla,uc-riverside,REG (Non-Conf),1,66,65,0.404,0.389,0.41,0.465,0.813,9,19,28,15,2,1,11,18,0.44,0.438,0.444,0.58,0.636,6,19,25,15,2,0,14,20
8,2023-12-09,0,ucla,villanova,REG (Non-Conf),0,56,65,0.367,0.368,0.366,0.425,0.833,9,23,32,13,4,6,10,18,0.328,0.314,0.348,0.422,0.762,13,26,39,12,5,3,6,12
9,2023-12-16,2,ucla,ohio-state,REG (Non-Conf),0,60,67,0.387,0.1,0.442,0.395,0.611,10,24,34,9,8,3,10,22,0.446,0.067,0.585,0.455,0.762,7,27,34,9,4,4,11,19
10,2023-12-19,1,ucla,cal-state-northridge,REG (Non-Conf),0,72,76,0.37,0.375,0.367,0.454,0.657,11,21,32,7,6,1,19,21,0.466,0.294,0.537,0.509,0.739,8,26,34,12,14,1,13,31
11,2023-12-22,1,ucla,maryland,REG (Non-Conf),0,60,69,0.315,0.071,0.4,0.324,0.735,16,16,32,6,3,1,9,25,0.417,0.364,0.462,0.5,0.7,7,23,30,6,5,2,9,29
12,2023-12-28,0,ucla,oregon-state,REG (Conf),1,69,62,0.419,0.474,0.395,0.492,0.667,10,19,29,14,5,3,9,16,0.44,0.429,0.448,0.53,0.818,6,24,30,8,5,4,12,13
13,2023-12-30,0,ucla,oregon,REG (Conf),0,59,64,0.429,0.158,0.568,0.455,0.727,12,20,32,14,7,5,16,17,0.407,0.4,0.414,0.5,0.714,5,20,25,10,12,4,9,16
14,2024-01-03,1,ucla,stanford,REG (Conf),0,53,59,0.328,0.231,0.356,0.353,0.8,8,20,28,6,7,4,14,22,0.36,0.3,0.4,0.42,0.81,8,21,29,12,7,1,14,16
15,2024-01-06,1,ucla,california,REG (Conf),0,57,66,0.429,0.2,0.487,0.449,0.684,6,22,28,7,8,5,12,18,0.397,0.4,0.395,0.466,0.75,11,24,35,12,6,0,13,20
16,2024-01-11,0,ucla,utah,REG (Conf),0,44,90,0.315,0.176,0.378,0.343,0.5,5,20,25,8,7,1,13,21,0.5,0.406,0.588,0.598,0.688,13,34,47,21,7,5,10,18
17,2024-01-14,1,ucla,washington,REG (Conf),1,73,61,0.5,0.429,0.528,0.56,0.68,4,21,25,20,8,4,15,20,0.404,0.24,0.556,0.462,0.65,6,21,27,6,4,2,19,22
18,2024-01-17,0,ucla,arizona-state,REG (Conf),1,68,66,0.478,0.368,0.556,0.554,0.739,7,24,31,15,2,7,11,17,0.426,0.407,0.444,0.528,0.643,5,16,21,10,6,2,6,17
19,2024-01-20,0,ucla,arizona,REG (Conf),0,71,77,0.446,0.346,0.533,0.527,0.857,9,16,25,11,6,3,11,25,0.426,0.231,0.607,0.481,0.862,11,21,32,14,5,3,10,13
20,2024-01-27,0,ucla,southern-california,REG (Conf),1,65,50,0.357,0.438,0.325,0.42,0.75,11,25,36,13,5,4,5,15,0.354,0.462,0.314,0.417,0.625,6,19,25,12,4,10,7,17
21,2024-02-01,1,ucla,oregon-state,REG (Conf),1,71,63,0.424,0.368,0.45,0.483,0.737,13,22,35,11,4,2,8,15,0.511,0.357,0.576,0.564,0.588,4,21,25,6,5,5,12,16
22,2024-02-03,1,ucla,oregon,REG (Conf),1,71,63,0.448,0.5,0.435,0.5,0.765,9,22,31,12,4,3,5,13,0.426,0.273,0.531,0.481,0.733,5,21,26,10,2,2,10,16
23,2024-02-07,0,ucla,stanford,REG (Conf),1,82,74,0.453,0.44,0.464,0.557,0.767,7,20,27,9,9,2,9,17,0.528,0.235,0.667,0.566,0.824,5,25,30,15,5,0,15,19
24,2024-02-10,0,ucla,california,REG (Conf),1,61,60,0.362,0.294,0.39,0.405,0.636,9,25,34,7,7,3,5,14,0.396,0.308,0.481,0.472,0.556,8,26,34,8,3,1,9,18
25,2024-02-15,1,ucla,colorado,REG (Conf),1,64,60,0.444,0.333,0.476,0.481,0.667,9,17,26,8,4,3,5,12,0.522,0.4,0.581,0.587,0.6,5,22,27,14,2,2,14,15
26,2024-02-18,1,ucla,utah,REG (Conf),0,69,70,0.397,0.238,0.476,0.437,0.933,11,21,32,7,2,4,4,17,0.421,0.321,0.517,0.5,0.722,7,25,32,14,4,3,9,18
27,2024-02-24,1,ucla,southern-california,REG (Conf),0,56,62,0.333,0.211,0.4,0.37,0.889,8,21,29,9,6,3,14,19,0.44,0.444,0.438,0.52,0.5,6,17,23,11,12,1,13,18
28,2024-02-29,0,ucla,washington,REG (Conf),0,77,94,0.446,0.318,0.512,0.5,0.8,8,20,28,18,3,3,4,21,0.556,0.625,0.5,0.694,0.792,4,27,31,23,2,5,5,17
29,2024-03-02,0,ucla,washington-state,REG (Conf),0,65,77,0.472,0.4,0.5,0.528,0.818,4,18,22,6,5,2,6,24,0.418,0.368,0.444,0.482,0.727,15,21,36,8,3,4,7,13
30,2024-03-07,1,ucla,arizona,REG (Conf),0,65,88,0.39,0.333,0.415,0.441,0.722,4,19,23,7,6,5,9,21,0.519,0.391,0.613,0.602,0.767,6,29,35,16,8,0,9,18
31,2024-03-09,1,ucla,arizona-state,REG (Conf),1,59,47,0.383,0.55,0.259,0.5,0.75,6,22,28,16,9,0,12,13,0.375,0.273,0.462,0.438,0.357,9,22,31,9,5,4,12,13
32,2024-03-13,2,ucla,oregon-state,CTOURN,1,67,57,0.522,0.6,0.484,0.62,0.625,7,19,26,13,6,2,10,15,0.472,0.316,0.559,0.528,0.25,8,18,26,11,6,3,8,15
33,2024-03-14,2,ucla,oregon,CTOURN,0,66,68,0.44,0.238,0.586,0.49,0.708,8,20,28,7,5,4,11,22,0.429,0.2,0.556,0.464,0.762,10,19,29,13,5,1,8,20
1,2023-11-06,1,purdue,samford,REG (Non-Conf),1,98,45,0.548,0.552,0.545,0.677,0.636,11,39,50,29,9,10,14,15,0.25,0.161,0.324,0.287,0.429,9,19,28,11,11,0,15,19
2,2023-11-10,1,purdue,morehead-state,REG (Non-Conf),1,87,57,0.545,0.348,0.688,0.618,0.792,7,30,37,19,5,6,8,12,0.343,0.226,0.444,0.396,0.667,10,18,28,14,3,2,9,21
3,2023-11-13,1,purdue,xavier,REG (Non-Conf),1,83,71,0.509,0.467,0.524,0.57,0.857,5,27,32,19,4,6,11,11,0.448,0.28,0.548,0.5,0.667,6,20,26,15,8,1,10,17
4,2023-11-20,2,purdue,gonzaga,REG (Non-Conf),1,73,63,0.467,0.235,0.558,0.5,0.813,8,30,38,11,9,3,13,12,0.377,0.188,0.541,0.42,0.625,11,20,31,13,12,2,13,19
5,2023-11-21,2,purdue,tennessee,REG (Non-Conf),1,71,67,0.352,0.267,0.385,0.389,0.604,15,24,39,8,8,3,15,21,0.333,0.267,0.407,0.404,0.7,8,19,27,9,8,3,10,30
6,2023-11-22,2,purdue,marquette,REG (Non-Conf),1,78,75,0.508,0.476,0.526,0.593,0.533,10,22,32,14,3,2,14,11,0.517,0.294,0.61,0.56,0.909,5,18,23,17,11,1,9,18
7,2023-11-28,1,purdue,texas-southern,REG (Non-Conf),1,99,67,0.527,0.52,0.533,0.645,0.7,8,35,43,19,4,6,10,12,0.371,0.3,0.425,0.436,0.667,6,22,28,12,7,3,8,27
8,2023-12-01,0,purdue,northwestern,REG (Conf),0,88,92,0.433,0.263,0.512,0.475,0.756,13,34,47,15,1,4,17,27,0.47,0.5,0.457,0.545,0.625,5,21,26,22,8,1,3,29
9,2023-12-04,1,purdue,iowa,REG (Conf),1,87,68,0.523,0.32,0.65,0.585,0.688,15,24,39,24,3,5,7,13,0.385,0.333,0.404,0.431,0.706,14,17,31,17,5,3,8,15
10,2023-12-09,2,purdue,alabama,REG (Non-Conf),1,92,86,0.484,0.444,0.5,0.548,0.857,10,22,32,22,9,2,9,15,0.453,0.413,0.556,0.602,0.643,10,20,30,20,5,5,13,24
11,2023-12-16,2,purdue,arizona,REG (Non-Conf),1,92,84,0.538,0.417,0.61,0.615,0.632,11,20,31,22,10,3,12,14,0.516,0.375,0.565,0.565,0.875,5,21,26,24,8,1,13,19
12,2023-12-21,1,purdue,jacksonville,REG (Non-Conf),1,100,57,0.515,0.31,0.667,0.581,0.808,10,26,36,25,14,6,9,11,0.368,0.182,0.486,0.404,0.692,7,21,28,5,8,2,22,20
13,2023-12-29,1,purdue,eastern-kentucky,REG (Non-Conf),1,80,53,0.516,0.286,0.628,0.563,0.571,12,31,43,20,7,5,10,7,0.373,0.211,0.45,0.407,0.625,6,16,22,8,7,7,12,16
14,2024-01-02,0,purdue,maryland,REG (Conf),1,67,53,0.463,0.45,0.471,0.546,0.8,9,27,36,16,1,2,11,7,0.333,0.227,0.39,0.373,0.545,13,17,30,5,6,3,8,12
15,2024-01-05,1,purdue,illinois,REG (Conf),1,83,78,0.45,0.474,0.439,0.525,0.8,16,24,40,18,5,4,12,17,0.426,0.421,0.429,0.492,0.857,11,14,25,15,5,3,10,19
16,2024-01-09,0,purdue,nebraska,REG (Conf),0,72,88,0.421,0.394,0.458,0.535,0.733,9,22,31,17,1,2,13,16,0.509,0.609,0.441,0.632,0.842,4,23,27,22,9,3,8,17
17,2024-01-13,1,purdue,penn-state,REG (Conf),1,95,78,0.582,0.458,0.677,0.682,0.69,10,31,41,26,3,3,14,15,0.446,0.321,0.541,0.515,0.647,4,17,21,19,9,0,8,22
18,2024-01-16,0,purdue,indiana,REG (Conf),1,87,66,0.468,0.368,0.512,0.524,0.815,10,31,41,14,7,2,8,12,0.415,0.333,0.463,0.477,0.444,9,23,32,14,4,3,10,19
19,2024-01-20,0,purdue,iowa,REG (Conf),1,84,70,0.448,0.346,0.512,0.515,0.714,19,31,50,19,4,6,11,15,0.458,0.294,0.524,0.5,0.688,4,19,23,15,6,1,7,19
20,2024-01-23,1,purdue,michigan,REG (Conf),1,99,67,0.515,0.667,0.444,0.621,0.654,14,31,45,24,5,4,6,17,0.338,0.31,0.359,0.404,0.8,13,21,34,16,2,2,7,19
