Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
1.0,2022-11-07,1,southern-california,florida-gulf-coast,REG (Non-Conf),0,61.0,74.0,0.404,0.158,0.545,0.433,0.667,6.0,27.0,33.0,15.0,9.0,8.0,15.0,21.0,0.375,0.296,0.432,0.438,0.72,14.0,29.0,43.0,13.0,7.0,3.0,11.0,23.0
2.0,2022-11-10,1,southern-california,alabama-state,REG (Non-Conf),1,96.0,58.0,0.554,0.478,0.595,0.638,0.619,11.0,30.0,41.0,22.0,11.0,9.0,17.0,18.0,0.333,0.25,0.37,0.371,0.643,12.0,20.0,32.0,8.0,8.0,3.0,18.0,19.0
3.0,2022-11-15,1,southern-california,vermont,REG (Non-Conf),1,59.0,57.0,0.358,0.188,0.432,0.387,0.783,4.0,35.0,39.0,10.0,2.0,5.0,9.0,13.0,0.368,0.296,0.433,0.439,0.636,3.0,29.0,32.0,15.0,2.0,4.0,7.0,23.0
4.0,2022-11-18,1,southern-california,mount-st-marys,REG (Non-Conf),1,83.0,74.0,0.464,0.318,0.559,0.527,0.75,10.0,24.0,34.0,18.0,7.0,7.0,16.0,16.0,0.368,0.36,0.372,0.434,0.714,11.0,21.0,32.0,15.0,10.0,4.0,11.0,26.0
5.0,2022-11-23,2,southern-california,brigham-young,REG (Non-Conf),1,82.0,76.0,0.534,0.2,0.604,0.552,0.6,9.0,24.0,33.0,12.0,8.0,2.0,10.0,18.0,0.424,0.375,0.481,0.525,0.636,11.0,22.0,33.0,16.0,7.0,5.0,17.0,21.0
6.0,2022-11-24,2,southern-california,tennessee,REG (Non-Conf),0,66.0,73.0,0.45,0.333,0.489,0.492,0.875,8.0,26.0,34.0,11.0,7.0,8.0,19.0,23.0,0.375,0.167,0.457,0.398,0.846,12.0,23.0,35.0,14.0,12.0,2.0,10.0,10.0
7.0,2022-11-25,2,southern-california,wisconsin,REG (Non-Conf),0,59.0,64.0,0.411,0.478,0.364,0.509,0.333,8.0,25.0,33.0,12.0,2.0,5.0,13.0,14.0,0.446,0.417,0.469,0.536,0.5,4.0,24.0,28.0,13.0,6.0,1.0,7.0,7.0
8.0,2022-11-30,0,southern-california,california,REG (Conf),1,66.0,51.0,0.442,0.313,0.5,0.49,0.938,9.0,28.0,37.0,10.0,3.0,8.0,11.0,17.0,0.277,0.25,0.283,0.3,0.706,12.0,17.0,29.0,6.0,6.0,2.0,7.0,14.0
9.0,2022-12-04,1,southern-california,oregon-state,REG (Conf),1,63.0,62.0,0.46,0.25,0.559,0.5,0.619,5.0,17.0,22.0,13.0,9.0,6.0,6.0,11.0,0.423,0.455,0.4,0.519,1.0,7.0,23.0,30.0,11.0,2.0,3.0,14.0,21.0
10.0,2022-12-07,1,southern-california,cal-state-fullerton,REG (Non-Conf),1,64.0,50.0,0.429,0.2,0.556,0.464,0.706,6.0,27.0,33.0,16.0,9.0,4.0,14.0,15.0,0.328,0.273,0.361,0.379,0.6,12.0,25.0,37.0,10.0,7.0,3.0,17.0,14.0
11.0,2022-12-14,1,southern-california,long-beach-state,REG (Non-Conf),1,88.0,78.0,0.492,0.44,0.525,0.577,0.684,10.0,21.0,31.0,24.0,7.0,8.0,10.0,16.0,0.411,0.364,0.419,0.438,0.7,18.0,26.0,44.0,12.0,6.0,1.0,13.0,19.0
12.0,2022-12-18,1,southern-california,auburn,REG (Non-Conf),1,74.0,71.0,0.462,0.308,0.513,0.5,0.815,8.0,11.0,19.0,12.0,13.0,1.0,11.0,15.0,0.468,0.348,0.583,0.553,0.792,9.0,21.0,30.0,15.0,7.0,4.0,22.0,25.0
13.0,2022-12-21,2,southern-california,colorado-state,REG (Non-Conf),1,73.0,64.0,0.531,0.474,0.567,0.622,0.632,7.0,30.0,37.0,16.0,9.0,2.0,20.0,18.0,0.377,0.185,0.577,0.425,0.826,4.0,19.0,23.0,16.0,10.0,1.0,13.0,20.0
14.0,2022-12-30,0,southern-california,washington,REG (Conf),1,80.0,67.0,0.459,0.357,0.489,0.5,0.81,15.0,23.0,38.0,12.0,8.0,10.0,16.0,18.0,0.324,0.333,0.317,0.39,0.778,15.0,14.0,29.0,11.0,10.0,7.0,12.0,20.0
15.0,2023-01-01,0,southern-california,washington-state,REG (Conf),0,71.0,81.0,0.431,0.167,0.532,0.454,0.75,16.0,24.0,40.0,9.0,4.0,2.0,11.0,21.0,0.491,0.483,0.5,0.618,0.65,7.0,21.0,28.0,16.0,6.0,3.0,5.0,14.0
16.0,2023-01-05,0,southern-california,ucla,REG (Conf),0,58.0,60.0,0.472,0.188,0.595,0.5,0.833,4.0,22.0,26.0,10.0,5.0,5.0,10.0,18.0,0.345,0.346,0.344,0.422,0.647,14.0,19.0,33.0,12.0,5.0,2.0,8.0,11.0
17.0,2023-01-12,1,southern-california,colorado,REG (Conf),1,68.0,61.0,0.426,0.25,0.489,0.459,0.706,7.0,17.0,24.0,16.0,12.0,9.0,9.0,13.0,0.414,0.294,0.463,0.457,0.727,10.0,28.0,38.0,15.0,6.0,4.0,21.0,16.0
18.0,2023-01-14,1,southern-california,utah,REG (Conf),1,71.0,56.0,0.475,0.438,0.489,0.533,0.75,12.0,25.0,37.0,18.0,6.0,6.0,9.0,12.0,0.344,0.32,0.361,0.41,1.0,10.0,19.0,29.0,12.0,9.0,4.0,10.0,13.0
19.0,2023-01-19,0,southern-california,arizona,REG (Conf),0,66.0,81.0,0.369,0.235,0.417,0.4,0.667,9.0,21.0,30.0,7.0,12.0,3.0,12.0,23.0,0.483,0.5,0.471,0.586,0.619,12.0,30.0,42.0,18.0,7.0,1.0,18.0,19.0
20.0,2023-01-21,0,southern-california,arizona-state,REG (Conf),1,77.0,69.0,0.491,0.389,0.538,0.553,1.0,9.0,25.0,34.0,14.0,8.0,4.0,18.0,18.0,0.385,0.227,0.465,0.423,0.737,13.0,14.0,27.0,14.0,9.0,4.0,11.0,16.0
21.0,2023-01-26,1,southern-california,ucla,REG (Conf),1,77.0,64.0,0.49,0.455,0.517,0.588,0.944,5.0,19.0,24.0,14.0,5.0,4.0,9.0,18.0,0.357,0.444,0.316,0.429,0.8,12.0,19.0,31.0,13.0,8.0,3.0,11.0,14.0
22.0,2023-02-02,1,southern-california,washington-state,REG (Conf),1,80.0,70.0,0.519,0.474,0.545,0.606,0.708,2.0,22.0,24.0,14.0,5.0,7.0,7.0,19.0,0.458,0.348,0.528,0.525,0.615,7.0,22.0,29.0,19.0,1.0,0.0,9.0,19.0
23.0,2023-02-04,1,southern-california,washington,REG (Conf),1,80.0,74.0,0.446,0.182,0.581,0.477,0.857,9.0,24.0,33.0,23.0,9.0,3.0,11.0,21.0,0.436,0.353,0.474,0.491,0.8,6.0,22.0,28.0,12.0,7.0,2.0,15.0,23.0
24.0,2023-02-09,0,southern-california,oregon,REG (Conf),0,60.0,78.0,0.411,0.25,0.475,0.446,0.667,7.0,17.0,24.0,9.0,8.0,2.0,11.0,20.0,0.538,0.333,0.647,0.596,0.889,7.0,23.0,30.0,18.0,7.0,5.0,11.0,14.0
25.0,2023-02-11,0,southern-california,oregon-state,REG (Conf),0,58.0,61.0,0.321,0.071,0.405,0.33,0.808,12.0,30.0,42.0,7.0,6.0,7.0,10.0,15.0,0.313,0.286,0.326,0.359,0.789,14.0,21.0,35.0,5.0,2.0,5.0,8.0,20.0
26.0,2023-02-16,1,southern-california,california,REG (Conf),1,97.0,60.0,0.589,0.522,0.636,0.696,0.826,3.0,25.0,28.0,16.0,10.0,5.0,7.0,17.0,0.356,0.357,0.356,0.398,0.684,10.0,20.0,30.0,10.0,3.0,3.0,14.0,20.0
27.0,2023-02-18,1,southern-california,stanford,REG (Conf),1,85.0,75.0,0.492,0.52,0.471,0.602,0.875,4.0,23.0,27.0,17.0,7.0,2.0,9.0,14.0,0.459,0.4,0.488,0.525,0.733,6.0,23.0,29.0,16.0,7.0,1.0,11.0,15.0
28.0,2023-02-23,0,southern-california,colorado,REG (Conf),1,84.0,65.0,0.569,0.421,0.641,0.638,0.588,5.0,31.0,36.0,12.0,5.0,4.0,8.0,13.0,0.364,0.214,0.474,0.409,0.733,7.0,21.0,28.0,12.0,8.0,6.0,6.0,16.0
29.0,2023-02-25,0,southern-california,utah,REG (Conf),1,62.0,49.0,0.42,0.478,0.37,0.53,0.643,4.0,28.0,32.0,11.0,3.0,7.0,9.0,12.0,0.317,0.227,0.366,0.357,0.364,9.0,23.0,32.0,10.0,7.0,3.0,8.0,13.0
30.0,2023-03-02,1,southern-california,arizona,REG (Conf),0,81.0,87.0,0.406,0.385,0.421,0.484,0.864,11.0,22.0,33.0,12.0,3.0,6.0,12.0,19.0,0.542,0.5,0.561,0.619,0.667,7.0,20.0,27.0,21.0,5.0,2.0,9.0,18.0
31.0,2023-03-04,1,southern-california,arizona-state,REG (Conf),1,68.0,65.0,0.412,0.278,0.485,0.461,0.7,11.0,26.0,37.0,9.0,8.0,5.0,14.0,21.0,0.292,0.214,0.351,0.338,0.75,20.0,19.0,39.0,9.0,11.0,1.0,11.0,21.0
32.0,2023-03-09,2,southern-california,arizona-state,CTOURN,0,72.0,77.0,0.418,0.381,0.441,0.491,0.75,8.0,26.0,34.0,9.0,5.0,1.0,14.0,23.0,0.39,0.438,0.333,0.508,0.607,14.0,20.0,34.0,15.0,9.0,3.0,11.0,22.0
