Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
1.0,2025-11-03,1,southern-california,cal-poly,REG (Non-Conf),1,94.0,64.0,0.46,0.346,0.541,0.532,0.675,10.0,29.0,39.0,24.0,7.0,11.0,13.0,15.0,0.333,0.273,0.385,0.396,0.583,15.0,22.0,37.0,16.0,7.0,4.0,20.0,30.0
2.0,2025-11-09,1,southern-california,manhattan,REG (Non-Conf),1,114.0,83.0,0.506,0.381,0.55,0.556,0.75,23.0,29.0,52.0,24.0,6.0,7.0,12.0,27.0,0.393,0.273,0.462,0.443,0.806,10.0,20.0,30.0,11.0,9.0,2.0,12.0,22.0
3.0,2025-11-14,2,southern-california,illinois-state,REG (Non-Conf),1,87.0,67.0,0.509,0.333,0.59,0.561,0.657,9.0,26.0,35.0,20.0,6.0,7.0,4.0,17.0,0.343,0.219,0.447,0.393,0.923,15.0,19.0,34.0,11.0,2.0,2.0,10.0,24.0
4.0,2025-11-20,1,southern-california,troy,REG (Non-Conf),1,107.0,106.0,0.427,0.31,0.5,0.487,0.739,6.0,29.0,35.0,23.0,10.0,12.0,13.0,26.0,0.402,0.344,0.436,0.466,0.714,21.0,35.0,56.0,18.0,7.0,3.0,18.0,33.0
5.0,2025-11-24,2,southern-california,boise-state,REG (Non-Conf),1,70.0,67.0,0.444,0.478,0.419,0.546,0.647,6.0,22.0,28.0,11.0,8.0,7.0,13.0,17.0,0.413,0.2,0.553,0.452,0.909,10.0,22.0,32.0,7.0,5.0,2.0,13.0,17.0
6.0,2025-11-25,2,southern-california,seton-hall,REG (Non-Conf),1,83.0,81.0,0.5,0.5,0.5,0.565,0.816,10.0,23.0,33.0,9.0,4.0,4.0,16.0,19.0,0.561,0.333,0.643,0.605,0.667,3.0,15.0,18.0,15.0,12.0,4.0,9.0,28.0
7.0,2025-11-26,2,southern-california,arizona-state,REG (Non-Conf),1,88.0,75.0,0.596,0.391,0.735,0.675,0.611,12.0,19.0,31.0,16.0,4.0,4.0,11.0,22.0,0.423,0.32,0.519,0.5,0.852,8.0,10.0,18.0,10.0,5.0,2.0,9.0,16.0
8.0,2025-12-02,0,southern-california,oregon,REG (Conf),1,82.0,77.0,0.509,0.381,0.588,0.582,0.72,12.0,20.0,32.0,10.0,9.0,2.0,14.0,19.0,0.472,0.435,0.5,0.566,0.654,9.0,16.0,25.0,14.0,8.0,3.0,14.0,23.0
1.0,2025-11-03,1,ucla,eastern-washington,REG (Non-Conf),1,80.0,74.0,0.471,0.308,0.568,0.529,0.6,10.0,21.0,31.0,19.0,7.0,3.0,8.0,12.0,0.537,0.28,0.759,0.602,0.643,6.0,23.0,29.0,22.0,5.0,2.0,16.0,13.0
2.0,2025-11-07,1,ucla,pepperdine,REG (Non-Conf),1,74.0,63.0,0.481,0.238,0.645,0.529,0.731,11.0,21.0,32.0,11.0,7.0,5.0,10.0,15.0,0.344,0.276,0.406,0.41,1.0,13.0,19.0,32.0,11.0,6.0,3.0,10.0,21.0
3.0,2025-11-10,1,ucla,west-georgia,REG (Non-Conf),1,83.0,62.0,0.491,0.353,0.553,0.545,0.885,6.0,22.0,28.0,21.0,8.0,3.0,9.0,12.0,0.431,0.52,0.346,0.559,0.455,5.0,11.0,16.0,15.0,8.0,5.0,17.0,23.0
4.0,2025-11-14,2,ucla,arizona,REG (Non-Conf),0,65.0,69.0,0.431,0.529,0.39,0.509,0.75,6.0,18.0,24.0,15.0,4.0,3.0,15.0,12.0,0.473,0.316,0.556,0.527,0.733,9.0,24.0,33.0,16.0,7.0,3.0,15.0,11.0
5.0,2025-11-18,1,ucla,sacramento-state,REG (Non-Conf),1,79.0,48.0,0.483,0.333,0.568,0.543,0.667,11.0,30.0,41.0,20.0,9.0,3.0,15.0,25.0,0.241,0.125,0.333,0.269,0.633,11.0,20.0,31.0,9.0,6.0,3.0,13.0,25.0
6.0,2025-11-21,1,ucla,presbyterian,REG (Non-Conf),1,86.0,46.0,0.627,0.5,0.667,0.686,0.667,5.0,24.0,29.0,17.0,9.0,1.0,11.0,15.0,0.333,0.1,0.484,0.353,0.667,7.0,17.0,24.0,12.0,7.0,4.0,17.0,17.0
7.0,2025-11-25,2,ucla,california,REG (Non-Conf),0,72.0,80.0,0.406,0.318,0.452,0.461,0.565,10.0,24.0,34.0,17.0,2.0,5.0,11.0,19.0,0.448,0.5,0.417,0.543,0.773,5.0,26.0,31.0,15.0,7.0,4.0,8.0,23.0
8.0,2025-12-03,0,ucla,washington,REG (Conf),1,82.0,80.0,0.528,0.45,0.576,0.613,0.708,8.0,13.0,21.0,15.0,7.0,5.0,7.0,19.0,0.517,0.375,0.611,0.592,0.75,11.0,18.0,29.0,14.0,6.0,0.0,13.0,20.0
1.0,2025-11-04,1,purdue,evansville,REG (Non-Conf),1,82.0,51.0,0.475,0.448,0.5,0.585,0.813,10.0,24.0,34.0,22.0,4.0,4.0,7.0,9.0,0.3,0.206,0.389,0.35,0.5,17.0,18.0,35.0,13.0,2.0,2.0,9.0,15.0
2.0,2025-11-07,1,purdue,oakland,REG (Non-Conf),1,87.0,77.0,0.471,0.371,0.576,0.566,0.667,9.0,24.0,33.0,22.0,4.0,7.0,5.0,12.0,0.441,0.308,0.524,0.5,0.75,10.0,26.0,36.0,14.0,4.0,2.0,8.0,14.0
3.0,2025-11-13,0,purdue,alabama,REG (Non-Conf),1,87.0,80.0,0.47,0.429,0.489,0.538,0.696,17.0,31.0,48.0,16.0,3.0,0.0,9.0,15.0,0.424,0.372,0.522,0.545,0.8,5.0,18.0,23.0,17.0,8.0,4.0,6.0,19.0
4.0,2025-11-16,1,purdue,akron,REG (Non-Conf),1,97.0,79.0,0.522,0.391,0.591,0.59,0.783,19.0,24.0,43.0,20.0,7.0,6.0,12.0,15.0,0.403,0.394,0.412,0.5,0.706,11.0,14.0,25.0,18.0,9.0,1.0,10.0,19.0
5.0,2025-11-20,2,purdue,memphis,REG (Non-Conf),1,80.0,71.0,0.462,0.367,0.543,0.546,0.818,12.0,23.0,35.0,20.0,6.0,3.0,10.0,21.0,0.424,0.211,0.525,0.458,0.68,15.0,17.0,32.0,9.0,5.0,4.0,11.0,13.0
6.0,2025-11-21,2,purdue,texas-tech,REG (Non-Conf),1,86.0,56.0,0.586,0.571,0.591,0.655,0.667,10.0,30.0,40.0,19.0,1.0,2.0,11.0,15.0,0.333,0.235,0.462,0.4,0.571,8.0,16.0,24.0,8.0,7.0,3.0,8.0,14.0
7.0,2025-11-28,1,purdue,eastern-illinois,REG (Non-Conf),1,109.0,62.0,0.631,0.478,0.714,0.715,0.889,11.0,26.0,37.0,28.0,10.0,6.0,10.0,11.0,0.463,0.261,0.613,0.519,0.667,4.0,13.0,17.0,12.0,4.0,2.0,16.0,17.0
8.0,2025-12-02,0,purdue,rutgers,REG (Conf),1,81.0,65.0,0.466,0.385,0.531,0.552,0.85,10.0,25.0,35.0,18.0,4.0,2.0,9.0,14.0,0.446,0.471,0.436,0.518,0.636,6.0,17.0,23.0,12.0,6.0,2.0,9.0,18.0
9.0,2025-12-06,1,purdue,iowa-state,REG (Non-Conf),0,58.0,81.0,0.407,0.222,0.488,0.441,0.429,15.0,18.0,33.0,17.0,7.0,2.0,15.0,10.0,0.541,0.478,0.579,0.631,0.667,8.0,20.0,28.0,19.0,6.0,6.0,12.0,17.0
1.0,2025-11-03,1,michigan-state,colgate,REG (Non-Conf),1,80.0,69.0,0.417,0.286,0.487,0.467,0.649,19.0,27.0,46.0,18.0,8.0,3.0,9.0,13.0,0.474,0.379,0.571,0.57,0.667,3.0,21.0,24.0,14.0,6.0,2.0,13.0,25.0
2.0,2025-11-08,1,michigan-state,arkansas,REG (Non-Conf),1,69.0,66.0,0.41,0.071,0.511,0.418,0.692,16.0,23.0,39.0,18.0,7.0,4.0,14.0,15.0,0.393,0.25,0.536,0.455,0.652,11.0,20.0,31.0,16.0,11.0,6.0,14.0,21.0
3.0,2025-11-13,1,michigan-state,san-jose-state,REG (Non-Conf),1,79.0,60.0,0.483,0.24,0.667,0.534,0.68,12.0,30.0,42.0,25.0,7.0,6.0,9.0,17.0,0.357,0.296,0.414,0.429,0.667,7.0,19.0,26.0,10.0,6.0,1.0,8.0,21.0
4.0,2025-11-18,2,michigan-state,kentucky,REG (Non-Conf),1,83.0,66.0,0.5,0.5,0.5,0.586,0.8,7.0,30.0,37.0,25.0,5.0,4.0,12.0,17.0,0.351,0.233,0.481,0.412,0.864,5.0,19.0,24.0,13.0,7.0,6.0,9.0,15.0
5.0,2025-11-21,1,michigan-state,detroit-mercy,REG (Non-Conf),1,84.0,56.0,0.459,0.296,0.588,0.525,0.769,15.0,24.0,39.0,18.0,8.0,5.0,12.0,13.0,0.367,0.25,0.425,0.408,0.875,9.0,19.0,28.0,9.0,7.0,2.0,15.0,21.0
6.0,2025-11-25,2,michigan-state,east-carolina,REG (Non-Conf),1,89.0,56.0,0.507,0.464,0.538,0.604,0.667,12.0,25.0,37.0,24.0,13.0,8.0,11.0,22.0,0.333,0.4,0.303,0.396,0.692,3.0,22.0,25.0,8.0,9.0,3.0,22.0,11.0
7.0,2025-11-27,2,michigan-state,north-carolina,REG (Non-Conf),1,74.0,58.0,0.517,0.5,0.52,0.558,0.778,9.0,24.0,33.0,14.0,2.0,4.0,10.0,17.0,0.382,0.174,0.531,0.418,0.706,9.0,18.0,27.0,9.0,5.0,2.0,8.0,14.0
8.0,2025-12-02,1,michigan-state,iowa,REG (Conf),1,71.0,52.0,0.5,0.25,0.588,0.533,0.88,12.0,21.0,33.0,13.0,4.0,3.0,14.0,19.0,0.378,0.304,0.455,0.456,0.647,4.0,11.0,15.0,11.0,7.0,1.0,11.0,22.0
9.0,2025-12-06,1,michigan-state,duke,REG (Non-Conf),0,60.0,66.0,0.318,0.364,0.295,0.379,0.714,11.0,30.0,41.0,18.0,5.0,5.0,5.0,15.0,0.382,0.31,0.462,0.464,0.652,8.0,33.0,41.0,12.0,5.0,4.0,8.0,18.0
1.0,2025-11-03,1,illinois,jackson-state,REG (Non-Conf),1,113.0,55.0,0.548,0.459,0.639,0.664,0.667,21.0,39.0,60.0,23.0,6.0,2.0,12.0,10.0,0.306,0.241,0.364,0.363,0.714,3.0,13.0,16.0,5.0,11.0,2.0,10.0,22.0
2.0,2025-11-07,1,illinois,florida-gulf-coast,REG (Non-Conf),1,113.0,70.0,0.554,0.355,0.735,0.638,0.882,11.0,40.0,51.0,15.0,0.0,9.0,6.0,15.0,0.329,0.259,0.365,0.373,0.917,13.0,13.0,26.0,13.0,4.0,2.0,1.0,25.0
3.0,2025-11-11,1,illinois,texas-tech,REG (Non-Conf),1,81.0,77.0,0.492,0.318,0.595,0.551,0.696,9.0,21.0,30.0,5.0,6.0,5.0,13.0,8.0,0.531,0.273,0.667,0.578,0.75,6.0,21.0,27.0,20.0,7.0,3.0,12.0,18.0
4.0,2025-11-14,1,illinois,colgate,REG (Non-Conf),1,84.0,65.0,0.377,0.297,0.469,0.457,0.875,19.0,26.0,45.0,12.0,3.0,5.0,7.0,12.0,0.419,0.263,0.488,0.46,0.889,4.0,21.0,25.0,9.0,4.0,1.0,5.0,18.0
